epoch,train_loss,val_accuracy,val_roc_auc,val_average_precision
1,0.5289272846328265,0.803076923076923,0.7798331736909323,0.47511095450030966
2,0.4215777502143431,0.8092307692307692,0.8217459557258407,0.5398931439892921
3,0.4003524485461547,0.8266666666666667,0.8309054384844615,0.5650608857043224
4,0.3917187141906488,0.8235897435897436,0.8366592166879524,0.5728264793218685
5,0.3849221428919692,0.8287179487179487,0.8412888463175818,0.5788317730404873
6,0.38003383102911537,0.8369230769230769,0.8474882928905918,0.5815375102563318
7,0.377203976417565,0.8276923076923077,0.8501090889740315,0.578989028861954
8,0.3736446623460866,0.8328205128205128,0.8510336845466155,0.5832730956488742
9,0.3713097691604764,0.8297435897435897,0.853814123031077,0.5857214431083715
10,0.3677727216788386,0.8297435897435897,0.8544393891017453,0.5867003876881767
11,0.36712981535421785,0.8328205128205128,0.8587364303959131,0.5965303847534296
12,0.36082857272040963,0.8317948717948718,0.8594747765006386,0.5897200680039207
13,0.36441564608966703,0.8276923076923077,0.8611177628778205,0.5936299855272381
14,0.3614543118407136,0.8317948717948718,0.8627540974882928,0.6050485706424822
15,0.3565154553308426,0.8317948717948718,0.8642374414644528,0.6020260470892775
16,0.3519232843056169,0.8287179487179487,0.8614769582801192,0.5969956502941764
17,0.35451548123488136,0.8338461538461538,0.8648760110685398,0.6026068867223313
18,0.3539959698405109,0.8297435897435897,0.8618694125159643,0.6003932859116579
19,0.35333849280665464,0.8358974358974359,0.8645766815666242,0.6053443640607719
20,0.34726182688353774,0.837948717948718,0.86723073648361,0.6110484859628386
21,0.3468863415630914,0.8338461538461538,0.8612574499787145,0.6014666799992422
22,0.3467958453689283,0.8348717948717949,0.8671974776500638,0.6120993410301855
23,0.3481443754888531,0.8317948717948718,0.8663859621115367,0.6090601947024177
24,0.3461901460022841,0.8317948717948718,0.866332747977863,0.6093367636199679
25,0.34605613170230715,0.8348717948717949,0.8659469455087272,0.608226931682254
